timestamp,hr,hrv,gsr
163189,108.50,57.28,0.36
164190,64.36,57.28,0.36
165191,92.56,55.92,0.35
166192,65.06,55.92,0.35
167193,87.88,56.75,0.35
168194,67.61,56.75,0.35
169195,101.64,55.99,0.34
170196,109.10,56.86,0.34
171197,106.29,57.29,0.34
172198,101.18,56.68,0.33
173199,98.59,55.65,0.33
174200,96.29,54.62,0.32
175201,98.19,54.12,0.32
176202,97.97,53.02,0.32
177203,101.06,48.52,0.31
178204,102.27,49.15,0.31
179205,99.74,40.93,0.31
180206,101.56,40.62,0.31
181207,99.42,40.63,0.31
182208,91.82,47.31,0.32
183209,97.23,47.87,0.32
184210,96.68,48.12,0.32
185211,99.53,46.95,0.33
186212,103.63,48.14,0.33
187213,106.50,45.71,0.34
188214,107.52,46.67,0.34
189215,107.52,46.67,0.35
190216,78.39,47.25,0.35
191217,113.73,46.09,0.35
192218,113.16,46.10,0.36
193219,52.04,46.10,0.36
194220,85.67,47.12,0.36
195221,119.20,47.12,0.36
196222,98.99,59.69,0.37
197223,112.51,57.12,0.37
198224,112.51,57.12,0.38
199226,51.19,57.12,0.38
200227,73.89,57.32,0.38
201228,63.44,57.32,0.39
202229,77.57,60.99,0.39
203230,119.52,60.99,0.39
204231,71.96,60.99,0.39
205232,71.96,60.99,0.40
207234,66.87,61.48,0.40
208235,89.27,61.68,0.40
209236,100.66,61.70,0.40
210237,100.66,61.70,0.40
211238,45.14,61.70,0.40
212239,89.15,62.37,0.40
213240,64.74,62.37,0.41
214241,58.04,62.37,0.41
215242,95.65,60.95,0.41
216243,105.24,60.94,0.41
217244,69.20,60.94,0.41
218245,69.20,60.94,0.41
220247,85.58,60.28,0.41
221248,93.53,63.81,0.41
222249,93.53,63.81,0.41
223250,69.09,65.10,0.41
224251,78.62,64.51,0.42
225252,79.25,67.72,0.42
226253,82.41,70.45,0.42
227254,77.02,72.65,0.42
228255,54.16,72.65,0.42
229256,73.45,72.77,0.42
230257,100.70,73.32,0.42
231258,106.49,73.22,0.42
232259,68.00,73.22,0.42
233260,87.70,73.09,0.43
234261,100.09,73.53,0.43
235262,50.06,73.53,0.43
236263,96.77,74.97,0.43
237264,67.19,74.97,0.43
238265,62.14,74.97,0.43
239266,57.15,74.97,0.44
240267,99.23,70.46,0.44
241268,99.23,70.46,0.44
242270,63.37,70.46,0.44
243271,45.26,70.46,0.44
244272,71.60,71.61,0.44
245273,79.97,71.10,0.44
246274,105.06,71.44,0.44
247275,107.21,70.73,0.44
248276,60.24,70.73,0.44
249277,64.18,70.73,0.44
250278,99.89,71.02,0.44
251279,106.45,70.60,0.44
252280,101.14,72.90,0.44
253281,66.16,72.90,0.44
254282,93.84,70.57,0.44
255283,62.02,70.57,0.44
256284,62.12,70.57,0.44
257285,62.12,70.57,0.44
258286,47.62,70.57,0.44
259287,91.31,70.41,0.44
260288,107.52,63.46,0.44
261289,69.54,63.46,0.44
262290,104.18,60.60,0.44
263291,67.62,60.60,0.44
264292,101.85,61.31,0.44
265293,113.34,54.96,0.44
266294,74.19,54.96,0.44
267295,66.04,54.96,0.44
268296,64.53,54.96,0.44
269297,89.94,56.02,0.44
270298,68.55,56.02,0.44
271299,93.51,57.24,0.44
272300,68.83,57.24,0.44
273301,108.74,52.66,0.45
274302,71.28,52.66,0.45
275303,62.65,52.66,0.45
276304,110.35,60.53,0.45
277305,110.35,60.53,0.45
278306,110.35,60.53,0.45
279307,72.21,60.53,0.45
280308,72.21,60.53,0.45
285313,58.25,58.78,0.45
286314,96.11,60.22,0.45
287315,92.66,64.54,0.45
288316,57.51,64.54,0.46
289317,57.51,64.54,0.47
291319,59.83,57.94,0.49
292320,70.30,57.65,0.50
293321,78.11,57.09,0.51
294322,85.76,63.78,0.53
295323,59.47,63.78,0.54
296324,81.59,56.99,0.56
297325,81.59,56.99,0.57
298326,69.92,61.91,0.58
299327,104.86,52.07,0.59
300328,73.18,52.07,0.59
301329,65.72,52.07,0.59
302330,65.72,52.07,0.59
303331,75.97,53.43,0.59
304332,111.63,55.35,0.58
305333,121.64,54.56,0.57
306334,73.32,54.56,0.57
307335,69.47,54.56,0.56
308336,60.18,54.56,0.55
309337,95.81,55.06,0.55
310338,99.72,53.44,0.54
311339,110.30,53.59,0.53
312340,111.77,51.45,0.53
313341,112.57,51.41,0.52
314342,104.57,51.96,0.52
315343,99.92,53.04,0.52
316344,100.67,52.07,0.51
317345,98.51,52.54,0.51
318346,97.22,52.99,0.51
319347,94.84,56.02,0.50
320348,102.15,52.31,0.50
321349,106.79,51.99,0.50
322350,115.79,52.47,0.50
323351,127.39,52.85,0.50
324352,114.57,53.90,0.50
