timestamp,hr,hrv,gsr
592621,40.61,142.70,0.82
593622,40.61,142.70,0.82
616645,57.18,146.90,0.82
617646,72.86,144.35,0.83
618647,52.74,144.35,0.84
619648,52.74,144.35,0.85
621650,45.39,144.35,0.87
622651,45.39,144.35,0.88
625654,55.23,144.97,0.90
626655,61.76,155.55,0.90
627657,65.29,156.04,0.91
631661,47.84,165.64,0.90
632662,60.60,158.06,0.89
633663,66.05,158.00,0.89
634664,131.43,151.35,0.88
635665,74.66,151.35,0.88
636666,78.76,151.67,0.88
637667,71.68,150.82,0.88
638668,71.68,150.82,0.87
639669,86.91,150.82,0.87
640670,74.39,152.52,0.88
641671,64.82,154.66,0.88
642672,69.88,152.33,0.89
643673,67.23,155.77,0.89
644674,70.59,147.68,0.90
645675,68.46,142.99,0.90
646676,65.39,147.10,0.90
647677,69.17,144.08,0.90
648678,64.34,154.43,0.91
