timestamp,hr,hrv,gsr
340368,100.78,89.88,0.47
341369,94.13,89.88,0.47
342370,95.33,89.88,0.47
343371,97.03,89.88,0.47
344372,97.63,89.88,0.48
345373,97.84,89.88,0.48
346374,101.04,89.88,0.48
347375,104.29,89.88,0.48
348376,111.03,89.88,0.48
349377,113.73,89.88,0.48
350378,118.50,89.88,0.48
351379,114.91,89.88,0.48
352380,121.80,89.88,0.48
353381,124.82,89.88,0.48
354382,109.41,89.88,0.48
355383,103.30,89.88,0.48
356384,99.98,89.88,0.48
357385,94.55,89.88,0.48
358386,94.53,89.88,0.48
359387,94.53,89.88,0.48
360388,59.55,89.88,0.48
361389,55.02,87.74,0.48
362390,55.02,87.74,0.48
363391,44.44,87.74,0.48
364392,91.56,87.74,0.48
365393,62.43,92.31,0.48
366394,92.36,92.31,0.48
367395,65.44,82.89,0.48
368396,46.53,82.89,0.48
369397,97.17,82.89,0.48
370398,105.97,82.89,0.47
371399,92.24,88.57,0.47
372400,92.02,88.55,0.47
373401,57.12,88.55,0.47
374402,57.12,88.55,0.47
376404,80.90,87.99,0.47
377405,100.00,88.13,0.47
378406,100.00,88.13,0.47
379407,66.01,88.13,0.47
380408,81.51,86.22,0.48
381409,101.78,86.69,0.48
382410,69.54,86.69,0.48
383411,108.24,86.77,0.48
384412,116.87,87.06,0.48
385413,113.80,86.59,0.48
386414,110.56,85.95,0.49
387415,110.64,85.74,0.49
388416,68.14,85.74,0.49
389417,82.59,85.74,0.49
390418,101.28,86.01,0.49
391419,69.45,86.01,0.50
392420,47.99,86.01,0.50
393421,76.01,86.51,0.50
394422,82.68,86.75,0.50
395423,89.54,87.60,0.50
396424,97.42,87.60,0.50
397425,87.37,91.49,0.50
398426,55.10,91.49,0.51
399427,71.48,89.44,0.51
400428,85.28,89.60,0.51
401429,80.45,89.87,0.51
402430,80.45,89.87,0.51
403431,87.27,92.82,0.51
404432,57.00,92.82,0.51
405433,108.45,90.80,0.51
406434,70.23,90.80,0.51
407435,99.90,90.11,0.51
408436,113.72,89.83,0.51
409437,113.72,89.83,0.51
410438,91.48,90.29,0.51
411439,102.02,90.85,0.51
412440,71.58,90.85,0.51
413441,62.35,90.85,0.51
414442,61.86,90.85,0.51
415443,61.86,90.85,0.50
416444,52.36,90.79,0.50
417445,70.17,90.79,0.50
418446,70.17,90.79,0.50
419447,78.10,90.23,0.50
420448,78.10,90.23,0.50
421449,81.46,92.38,0.49
422450,95.78,92.87,0.49
423451,67.00,92.87,0.49
424452,47.06,92.87,0.49
425453,47.06,92.87,0.49
430458,54.26,90.42,0.50
431459,81.20,91.32,0.50
432460,96.56,91.00,0.50
433461,85.64,90.20,0.50
434462,104.16,101.12,0.50
435463,104.16,101.12,0.50
436464,68.98,120.05,0.51
437465,66.45,120.05,0.51
438466,90.58,120.05,0.51
439467,69.61,120.05,0.51
440468,62.51,120.05,0.51
441469,62.51,120.05,0.51
442470,43.14,120.05,0.51
443471,72.05,113.96,0.51
444472,91.98,111.79,0.51
445473,51.21,111.79,0.51
446474,51.21,111.79,0.51
447475,71.16,58.85,0.51
448476,60.71,58.85,0.51
449478,60.71,58.85,0.51
450479,40.36,58.85,0.51
451480,61.16,56.11,0.50
452481,90.64,75.73,0.50
453482,104.90,75.88,0.50
454483,49.28,75.88,0.50
455484,76.64,75.42,0.50
456485,76.64,75.42,0.50
457486,61.20,75.42,0.50
458487,89.64,76.15,0.50
459488,62.06,76.15,0.50
460489,47.59,76.15,0.50
461490,47.59,76.15,0.50
467496,57.27,77.14,0.49
468497,41.37,77.14,0.48
469498,86.76,76.94,0.48
470499,107.04,75.99,0.48
471500,118.67,76.14,0.48
